Experiment_ID,Benchmark_ID,00_Distribution,00_Error,00_Integrity,00_SIS,01_Distribution,01_Error,01_Integrity,01_SIS,02_Distribution,02_Error,02_Integrity,02_SIS,03_Distribution,03_Error,03_Integrity,03_SIS,04_Distribution,04_Error,04_Integrity,04_SIS,05_Distribution,05_Error,05_Integrity,05_SIS,06_Distribution,06_Error,06_Integrity,06_SIS,07_Distribution,07_Error,07_Integrity,07_SIS,08_Distribution,08_Error,08_Integrity,08_SIS,09_Distribution,09_Error,09_Integrity,09_SIS,10_Distribution,10_Error,10_Integrity,10_SIS,11_Distribution,11_Error,11_Integrity,11_SIS,12_Distribution,12_Error,12_Integrity,12_SIS,13_Distribution,13_Error,13_Integrity,13_SIS,14_Distribution,14_Error,14_Integrity,14_SIS,15_Distribution,15_Error,15_Integrity,15_SIS,Error,Time,best_fuzz,best_sis,?Solved
0,spider_bak-coffee_shop-0011.txt,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,100,,Valid,50.0,"50,50",,Valid,0.0,,2.98,0.0,0.0,True
1,spider_bak-coffee_shop-0005.txt,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,,3.97,0.0,50.0,False
2,spider-manufactory_1-0036.txt,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,,4.66,0.0,0.0,True
3,spider-manufactory_1-0036.txt,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,,3.6,3.0,0.0,True
4,spider_bak-manufactory_1-0003.txt,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,"50,50",,Valid,0.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,,2.56,6.0,0.0,True
5,spider-customer_deliveries-0004.txt,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,100,,Length constraint vi...,50.0,,3.23,0.0,50.0,False
6,spider_bak-inn_1-0009.txt,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,,2.39,0.0,0.0,True
7,spider-csu_1-0023.txt,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,100,,Valid,50.0,,3.17,0.0,50.0,False
8,spider_bak-roller_coaster-0002.txt,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,,2.83,0.0,0.0,True
9,db2csv-student_transcripts_tracking-0040_dev.txt,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,100,,Valid,50.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,"50,50",,Valid,0.0,,3.66,0.0,0.0,True
