ID,Benchmark,?Solved,Bound,Time
0,spider_bak-coffee_shop-0011.txt,True,2,9.140175
1,spider_bak-coffee_shop-0005.txt,True,2,11.282903999999998
2,spider-manufactory_1-0036.txt,False,2,
3,spider-manufactory_1-0036.txt,False,2,
4,spider_bak-manufactory_1-0003.txt,True,2,5.492232
5,spider-customer_deliveries-0004.txt,,2,
6,spider_bak-inn_1-0009.txt,True,2,21.108369
7,spider-csu_1-0023.txt,True,2,7.186285
8,spider_bak-roller_coaster-0002.txt,True,2,13.475083
9,db2csv-student_transcripts_tracking-0040_dev.txt,True,2,33.74393
10,spider-body_builder-0006.txt,True,2,8.406494
11,spider_bak-candidate_poll-0007.txt,True,2,18.757367
12,spider-county_public_safety-0020.txt,True,2,8.395738
13,db2csv-pets_1-0033_dev.txt,True,2,32.455457
14,db2csv-pets_1-0033_dev.txt,True,2,48.363201
15,spider-medicine_enzyme_interaction-0020.txt,True,2,13.07299
16,spider_bak-entertainment_awards-0012.txt,True,2,37.527582
17,spider_bak-entertainment_awards-0012.txt,False,2,5.526323
18,spider_bak-entertainment_awards-0012.txt,False,2,5.180716
19,spider_bak-entertainment_awards-0012.txt,False,2,4.700734
20,spider_bak-entertainment_awards-0012.txt,False,2,
21,spider_bak-entertainment_awards-0012.txt,False,2,
22,spider_bak-entertainment_awards-0012.txt,False,2,
23,spider_bak-entertainment_awards-0012.txt,False,2,8.919644
24,spider_bak-entertainment_awards-0012.txt,False,2,7.36679
25,spider_bak-entertainment_awards-0012.txt,False,2,9.384667
26,spider_bak-company_office-0003.txt,True,2,15.362641
27,spider_bak-company_office-0003.txt,True,2,9.872106
28,spider_bak-company_office-0003.txt,True,2,9.128322
29,spider_bak-company_office-0003.txt,True,2,7.88391
30,spider_bak-company_office-0003.txt,True,2,8.944147999999998
31,spider_bak-company_office-0003.txt,True,2,8.426072999999999
32,spider_bak-company_office-0003.txt,True,2,8.114659
33,spider_bak-company_office-0003.txt,True,2,10.736145
34,spider_bak-company_office-0003.txt,True,2,9.073933
35,spider_bak-company_office-0003.txt,True,2,9.050584
36,spider_bak-company_office-0003.txt,True,2,7.2053460000000005
37,spider_bak-company_office-0003.txt,True,2,10.243631
38,spider_bak-company_office-0003.txt,True,2,7.279975
39,spider_bak-company_office-0003.txt,True,2,14.938214
40,spider_bak-company_office-0003.txt,True,2,12.809771
41,spider_bak-customers_and_addresses-0020.txt,True,2,8.502923
42,spider_bak-ship_1-0008.txt,True,2,15.16637
43,spider-scientist_1-0003.txt,True,2,6.930771
44,spider-scientist_1-0003.txt,False,4,36.272123
45,spider-scientist_1-0003.txt,True,2,10.262563
46,spider-mountain_photos-0013.txt,True,2,44.863641
47,spider-mountain_photos-0013.txt,False,2,
48,spider-mountain_photos-0013.txt,False,2,
49,spider-customers_and_products_contacts-0008.txt,True,2,11.277301
50,spider-theme_gallery-0004.txt,True,2,12.340972
51,spider_bak-mountain_photos-0002.txt,True,2,4.700875
52,spider-match_season-0008.txt,False,4,40.48404
53,db2csv-dog_kennels-0039_dev.txt,False,2,
54,db2csv-poker_player-0017_dev.txt,True,2,12.655189
55,db2csv-poker_player-0017_dev.txt,True,2,15.16519
56,db2csv-poker_player-0017_dev.txt,True,2,29.484804
57,db2csv-poker_player-0017_dev.txt,True,2,17.96022
58,db2csv-poker_player-0017_dev.txt,True,2,19.737071
59,db2csv-poker_player-0017_dev.txt,True,2,55.744282
60,spider-news_report-0010.txt,True,2,11.429422
61,db2csv-dog_kennels-0029_dev.txt,True,2,47.507158
62,spider_bak-county_public_safety-0002.txt,True,2,15.805906
63,spider_bak-company_office-0002.txt,True,2,17.318719
64,spider_bak-book_2-0003.txt,True,2,9.271055
65,spider_bak-body_builder-0008.txt,True,2,56.474902
66,spider_bak-body_builder-0008.txt,True,2,43.191337
67,spider_bak-body_builder-0020.txt,True,2,8.995983
68,spider-entrepreneur-0006.txt,True,2,20.093538
69,spider-entrepreneur-0006.txt,True,2,21.930353
