ID,Benchmark,?Solved,Counterexample,Bound,Time,#Iters,#Backtracking,%Backtracking Type 2,Unsat core sizes,M sizes,AST size,nodes changed
0,spider_bak-coffee_shop-0011.txt,True,"{'shop': [['shop_id', 'address', 'num_of_staff', 'score', 'open_year'], [177, '182', '182', 182, None], [176, '182', '182', 182, '184']], 'member': [['member_id', 'name', 'membership_card', 'age', 'time_of_purchase', 'level_of_membership', 'address'], [174, '182', '182', 182, 182, 182, '182'], [175, '182', '182', 182, 182, 182, '182']], 'happy_hour': [['hh_id', 'shop_id', 'month', 'num_of_shaff_in_charge'], [182, 177, '179', 182], [182, 176, '178', 182]], 'happy_hour_member': [['hh_id', 'member_id', 'total_amount'], [182, 175, 182]]}",2.0,3.611217,5.0,2.0,0.5,"[1, 125]","[148, 148]",166.0,"[50, 90]"
1,spider_bak-coffee_shop-0005.txt,True,"{'shop': [['shop_id', 'address', 'num_of_staff', 'score', 'open_year'], [180, '186', '186', 186, '186'], [179, '186', '186', 186, '186']], 'member': [['member_id', 'name', 'membership_card', 'age', 'time_of_purchase', 'level_of_membership', 'address'], [175, '186', '186', None, 186, 186, '188'], [176, '186', '186', None, 186, 186, '188']], 'happy_hour': [['hh_id', 'shop_id', 'month', 'num_of_shaff_in_charge']], 'happy_hour_member': [['hh_id', 'member_id', 'total_amount'], [178, 175, 186]]}",2.0,7.515456,5.0,2.0,0.5,"[3, 103]","[111, 111]",119.0,"[50, 102]"
2,spider-manufactory_1-0036.txt,True,"{'manufacturers': [['code', 'name', 'headquarter', 'founder', 'revenue'], [316, None, '327', '328', 329], [317, None, '331', '332', None]], 'products': [['code', 'manufacturer', 'name', 'price'], [319, 316, None, None], [318, 317, '334', None]]}",2.0,27.839495,6.0,3.0,0.3333333333333333,"[1, 3, 165]","[185, 185, 185]",213.0,"[50, 3, 129]"
3,spider-manufactory_1-0036.txt,True,"{'manufacturers': [['code', 'name', 'headquarter', 'founder', 'revenue'], [1176, '1175', '341', '342', 343], [1177, '1175', '344', '345', 346]], 'products': [['code', 'manufacturer', 'name', 'price'], [334, 1176, '339', None], [333, 1177, '347', None]]}",2.0,7.825189,4.0,1.0,0.0,[1],[202],232.0,[50]
4,spider-movie_1-0012.txt,True,"{'movie': [['mid', 'title', 'year', 'director'], [315, '325', 325, '325'], [314, '325', 325, '325']], 'reviewer': [['rid', 'name'], [317, '325'], [316, '325']], 'rating': [['rid', 'mid', 'stars', 'ratingdate'], [316, None, None, None], [317, 314, None, '1000-11-24']]}",2.0,6.769576,4.0,1.0,0.0,[1],[180],209.0,[50]
5,spider_bak-manufactory_1-0003.txt,True,"{'manufacturers': [['code', 'name', 'headquarter', 'founder', 'revenue'], [166, None, None, None, 175], [165, None, None, None, 176]], 'products': [['code', 'manufacturer', 'name', 'price'], [168, None, None, None], [167, 166, None, None]]}",2.0,7.226654,5.0,2.0,0.5,"[1, 108]","[115, 115]",126.0,"[50, 93]"
6,spider-customer_deliveries-0004.txt,True,"{'products': [['product_id', 'product_name', 'product_price', 'product_description'], [193, '0', 0, '0']], 'addresses': [['address_id', 'address_details', 'city', 'zip_postcode', 'state_province_county', 'country'], [195, '0', '0', '0', '0', '0'], [194, '0', '0', '0', '0', '0']], 'customers': [['customer_id', 'payment_method', 'customer_name', 'customer_phone', 'customer_email', 'date_became_customer']], 'regular_orders': [['regular_order_id', 'distributer_id'], [196, None]], 'regular_order_products': [['regular_order_id', 'product_id']], 'actual_orders': [['actual_order_id', 'regular_order_id', 'order_status_code', 'actual_order_date'], [198, 196, '0', 0], [197, None, '0', 0]], 'actual_order_products': [['actual_order_id', 'product_id']], 'customer_addresses': [['address_id', 'customer_id', 'date_from', 'address_type', 'date_to']], 'delivery_routes': [['route_id', 'route_name', 'other_route_details'], [199, '0', '0']], 'delivery_route_locations': [['location_code', 'route_id', 'location_address_id', 'location_name']], 'trucks': [['truck_id', 'truck_licence_number', 'truck_details'], [201, '0', '0']], 'employees': [['employee_id', 'employee_address_id', 'employee_name', 'employee_phone']], 'order_deliveries': [['driver_employee_id', 'location_code', 'actual_order_id', 'truck_id', 'delivery_status_code', 'delivery_date']]}",2.0,1.045864,4.0,1.0,0.0,[2],[159],183.0,[51]
7,spider_bak-inn_1-0009.txt,True,"{'rooms': [['roomid', 'roomname', 'beds', 'bedtype', 'maxoccupancy', 'baseprice', 'decor'], ['king206', None, None, 'king211', None, None, None]], 'reservations': [['code', 'room', 'checkin', 'checkout', 'rate', 'lastname', 'firstname', 'adults', 'kids']]}",2.0,1.528419,4.0,1.0,0.0,[2],[166],188.0,[51]
8,spider-csu_1-0023.txt,True,"{'campuses': [['id', 'campus', 'location', 'county', 'year'], [222, None, None, None, None], [221, None, None, None, None]], 'csu_fees': [['campus', 'year', 'campusfee']], 'degrees': [['year', 'campus', 'degrees']], 'discipline_enrollments': [['campus', 'discipline', 'year', 'undergraduate', 'graduate']], 'enrollments': [['campus', 'year', 'totalenrollment_ay', 'fte_ay']], 'faculty': [['campus', 'year', 'faculty'], [None, None, 402]]}",2.0,1.586974,4.0,1.0,0.0,[2],[179],202.0,[51]
9,spider-csu_1-0023.txt,True,"{'campuses': [['id', 'campus', 'location', 'county', 'year'], [258, None, None, None, None], [257, None, None, None, None]], 'csu_fees': [['campus', 'year', 'campusfee']], 'degrees': [['year', 'campus', 'degrees']], 'discipline_enrollments': [['campus', 'discipline', 'year', 'undergraduate', 'graduate']], 'enrollments': [['campus', 'year', 'totalenrollment_ay', 'fte_ay']], 'faculty': [['campus', 'year', 'faculty'], [None, None, 313]]}",2.0,1.294896,4.0,1.0,0.0,[2],[202],231.0,[51]
