ProblemID,QueryID,?Refuted,Counterexample,Time,?VeriEQLRefuted,VeriEQL time,#Iters,#Backtracking,%Backtracking Type 2,Unsat core sizes,M sizes,solving times,AST size,nodes changed
619,0,,,,False,,,,,,,,,
619,1,,,,False,,,,,,,,,
619,2,,,,False,,,,,,,,,
619,3,,,,False,,,,,,,,,
619,4,,,,False,,,,,,,,,
619,5,False,"{'mynumbers': [['num'], [-410]]}",0.186504,False,,2.0,0.0,,[],[],"[0.158804, 0.011922]",6.0,[]
619,6,,,,False,,,,,,,,,
619,7,False,,0.053924,False,,2.0,1.0,1.0,[6],[6],[0.007236],6.0,[]
619,8,False,"{'mynumbers': [['num'], [6], [6], [None]]}",0.059951,False,,3.0,1.0,0.0,[1],[5],"[0.007713, 0.009936]",5.0,[2]
619,9,,,,False,,,,,,,,,
619,10,,,,False,,,,,,,,,
619,11,,,,False,,,,,,,,,
619,12,,,,False,,,,,,,,,
619,13,,,,False,,,,,,,,,
619,14,False,,0.048655,False,,2.0,1.0,1.0,[6],[6],[0.006742],6.0,[]
619,15,False,,0.051943,False,,2.0,1.0,1.0,[6],[6],[0.006795],6.0,[]
619,16,False,,0.047938,False,,2.0,1.0,1.0,[6],[6],[0.006276],6.0,[]
619,17,False,,0.050506,False,,2.0,1.0,1.0,[6],[6],[0.006816],6.0,[]
619,18,,,,False,,,,,,,,,
619,19,False,,0.043465,False,,2.0,1.0,1.0,[6],[6],[0.006599],6.0,[]
619,20,False,,0.044569,False,,2.0,1.0,1.0,[6],[6],[0.005975],6.0,[]
619,21,False,"{'mynumbers': [['num'], [None], [-410]]}",0.120279,False,,2.0,0.0,,[],[],"[0.007439, 0.00925]",7.0,[]
619,22,False,,0.051057,False,,2.0,1.0,1.0,[6],[6],[0.006402],6.0,[]
619,23,False,,0.047365,False,,2.0,1.0,1.0,[6],[6],[0.006698],6.0,[]
619,24,False,,0.046251,False,,2.0,1.0,1.0,[6],[6],[0.006861],6.0,[]
619,25,False,,0.046926,False,,2.0,1.0,1.0,[6],[6],[0.006582],6.0,[]
619,26,False,,0.131186,False,,2.0,1.0,1.0,[6],[6],[0.006467],6.0,[]
619,27,False,,0.04884,False,,2.0,1.0,1.0,[7],[7],[0.006524],7.0,[]
619,28,False,,0.055025,False,,2.0,1.0,1.0,[7],[7],[0.00711],7.0,[]
619,29,True,"{'mynumbers': [['num'], [None], [None], [-6529]]}",0.030782,False,,2.0,0.0,,[],[],"[0.006663, 0.010957]",7.0,[]
619,30,False,,0.049383,False,,2.0,1.0,1.0,[6],[6],[0.006578],6.0,[]
619,31,False,,0.045583,False,,2.0,1.0,1.0,[6],[6],[0.006863],6.0,[]
619,32,False,,0.045788,False,,2.0,1.0,1.0,[6],[6],[0.006019],6.0,[]
619,33,False,,0.047086,False,,2.0,1.0,1.0,[6],[6],[0.005953],6.0,[]
619,34,False,,0.059169,False,,2.0,1.0,1.0,[8],[8],[0.0068],8.0,[]
619,35,False,,0.04823,False,,2.0,1.0,1.0,[6],[6],[0.006815],6.0,[]
619,36,False,,0.050545,False,,2.0,1.0,1.0,[6],[6],[0.006804],6.0,[]
619,37,False,"{'mynumbers': [['num'], [6], [237], [6]]}",0.028346,False,,2.0,0.0,,[],[],"[0.007059, 0.0086]",6.0,[]
