ID,Benchmark,?Solved,Bound,Time,#Backtracking,%Backtracking Type 2,Unsat core size,%unsat core
0,spider_bak-coffee_shop-0011.txt,True,2,33.313404,2.0,0.5,88.0,0.3946188340807175
1,spider_bak-coffee_shop-0005.txt,False,3,60.068355,,,,
2,spider-manufactory_1-0036.txt,False,3,60.069709,,,,
3,spider-manufactory_1-0036.txt,False,3,60.066459,,,,
4,spider_bak-manufactory_1-0003.txt,False,3,60.069817,,,,
5,spider-customer_deliveries-0004.txt,True,2,23.253814,1.0,0.0,2.0,0.0076923076923076
6,spider_bak-inn_1-0009.txt,True,2,42.081716,1.0,0.0,2.0,0.0081632653061224
7,spider-csu_1-0023.txt,True,2,41.235485,1.0,0.0,2.0,0.0072992700729927
8,spider_bak-roller_coaster-0002.txt,True,2,58.754536,2.0,0.5,89.5,0.3960176991150442
9,db2csv-student_transcripts_tracking-0040_dev.txt,False,3,60.066092,,,,
10,spider-body_builder-0006.txt,True,2,40.986286,2.0,0.5,87.5,0.3941441441441441
11,spider_bak-candidate_poll-0007.txt,False,3,60.067723,,,,
12,spider-county_public_safety-0020.txt,True,2,34.822515,2.0,0.5,88.5,0.3950892857142857
13,db2csv-pets_1-0033_dev.txt,False,3,60.04136,,,,
14,db2csv-pets_1-0033_dev.txt,False,3,40.496759,,,,
15,spider-medicine_enzyme_interaction-0020.txt,True,2,25.653241,1.0,0.0,2.0,0.0078431372549019
16,spider_bak-entertainment_awards-0012.txt,False,3,60.080243,,,,
17,spider_bak-entertainment_awards-0012.txt,False,3,27.161578,,,,
18,spider_bak-entertainment_awards-0012.txt,False,3,33.523047,,,,
19,spider_bak-entertainment_awards-0012.txt,False,3,13.655056,,,,
20,spider_bak-entertainment_awards-0012.txt,False,3,60.075923,,,,
21,spider_bak-entertainment_awards-0012.txt,False,3,60.066387,,,,
22,spider_bak-entertainment_awards-0012.txt,False,3,60.072367,,,,
23,spider_bak-entertainment_awards-0012.txt,False,3,34.939217,,,,
24,spider_bak-entertainment_awards-0012.txt,False,3,40.822931,,,,
25,spider_bak-entertainment_awards-0012.txt,False,3,44.336031,,,,
26,spider_bak-company_office-0003.txt,True,2,11.810773,1.0,0.0,1.0,0.0037453183520599
27,spider_bak-company_office-0003.txt,True,2,4.750456,1.0,0.0,1.0,0.0035460992907801
28,spider_bak-company_office-0003.txt,True,2,28.903268,1.0,0.0,1.0,0.0036764705882352
29,spider_bak-company_office-0003.txt,True,2,29.567014,1.0,0.0,1.0,0.0036764705882352
30,spider_bak-company_office-0003.txt,False,3,60.066604,,,,
